Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
Cumbria,E10000006,Upper tier local authority,2020-05-01,20,,,1954,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-01,1,,,795,,
Westminster,E09000033,Upper tier local authority,2020-05-01,1,,,605,,
Wandsworth,E09000032,Upper tier local authority,2020-05-01,1,,,928,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-01,4,,,730,,
Southwark,E09000028,Upper tier local authority,2020-05-01,4,,,1209,,
Redbridge,E09000026,Upper tier local authority,2020-05-01,3,,,683,,
Lambeth,E09000022,Upper tier local authority,2020-05-01,1,,,1143,,
Hounslow,E09000018,Upper tier local authority,2020-05-01,1,,,655,,
Hillingdon,E09000017,Upper tier local authority,2020-05-01,2,,,729,,
Havering,E09000016,Upper tier local authority,2020-05-01,1,,,637,,
Harrow,E09000015,Upper tier local authority,2020-05-01,1,,,939,,
Haringey,E09000014,Upper tier local authority,2020-05-01,1,,,549,,
Hackney,E09000012,Upper tier local authority,2020-05-01,4,,,609,,
Greenwich,E09000011,Upper tier local authority,2020-05-01,1,,,640,,
Enfield,E09000010,Upper tier local authority,2020-05-01,2,,,838,,
Ealing,E09000009,Upper tier local authority,2020-05-01,2,,,1070,,
Croydon,E09000008,Upper tier local authority,2020-05-01,1,,,1388,,
Camden,E09000007,Upper tier local authority,2020-05-01,2,,,582,,
Bromley,E09000006,Upper tier local authority,2020-05-01,1,,,1086,,
Bexley,E09000004,Upper tier local authority,2020-05-01,3,,,633,,
Barnet,E09000003,Upper tier local authority,2020-05-01,2,,,1214,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-01,3,,,458,,
Gateshead,E08000037,Upper tier local authority,2020-05-01,18,,,872,,
Wakefield,E08000036,Upper tier local authority,2020-05-01,8,,,549,,
Leeds,E08000035,Upper tier local authority,2020-05-01,4,,,1460,,
Kirklees,E08000034,Upper tier local authority,2020-05-01,4,,,575,,
Calderdale,E08000033,Upper tier local authority,2020-05-01,4,,,252,,
Bradford,E08000032,Upper tier local authority,2020-05-01,18,,,946,,
Solihull,E08000029,Upper tier local authority,2020-05-01,1,,,578,,
Dudley,E08000027,Upper tier local authority,2020-05-01,1,,,785,,
Coventry,E08000026,Upper tier local authority,2020-05-01,1,,,674,,
Sunderland,E08000024,Upper tier local authority,2020-05-01,18,,,1204,,
South Tyneside,E08000023,Upper tier local authority,2020-05-01,9,,,595,,
North Tyneside,E08000022,Upper tier local authority,2020-05-01,5,,,489,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-01,4,,,939,,
Sheffield,E08000019,Upper tier local authority,2020-05-01,12,,,2189,,
Rotherham,E08000018,Upper tier local authority,2020-05-01,8,,,736,,
Doncaster,E08000017,Upper tier local authority,2020-05-01,1,,,494,,
Barnsley,E08000016,Upper tier local authority,2020-05-01,6,,,677,,
Wirral,E08000015,Upper tier local authority,2020-05-01,3,,,1028,,
Sefton,E08000014,Upper tier local authority,2020-05-01,2,,,829,,
Liverpool,E08000012,Upper tier local authority,2020-05-01,5,,,1454,,
Knowsley,E08000011,Upper tier local authority,2020-05-01,3,,,566,,
Trafford,E08000009,Upper tier local authority,2020-05-01,1,,,621,,
Stockport,E08000007,Upper tier local authority,2020-05-01,2,,,872,,
Salford,E08000006,Upper tier local authority,2020-05-01,1,,,714,,
Rochdale,E08000005,Upper tier local authority,2020-05-01,1,,,527,,
Oldham,E08000004,Upper tier local authority,2020-05-01,6,,,758,,
Manchester,E08000003,Upper tier local authority,2020-05-01,4,,,1154,,
Bury,E08000002,Upper tier local authority,2020-05-01,1,,,549,,
Bolton,E08000001,Upper tier local authority,2020-05-01,3,,,807,,
Dorset,E06000059,Upper tier local authority,2020-05-01,7,,,321,,
Northumberland,E06000057,Upper tier local authority,2020-05-01,8,,,801,,
Wiltshire,E06000054,Upper tier local authority,2020-05-01,3,,,450,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-01,2,,,506,,
Shropshire,E06000051,Upper tier local authority,2020-05-01,5,,,518,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-01,3,,,841,,
Cheshire East,E06000049,Upper tier local authority,2020-05-01,9,,,908,,
County Durham,E06000047,Upper tier local authority,2020-05-01,37,,,1504,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-01,4,,,127,,
Southampton,E06000045,Upper tier local authority,2020-05-01,7,,,489,,
Portsmouth,E06000044,Upper tier local authority,2020-05-01,6,,,292,,
Brighton and Hove,E06000043,Upper tier local authority,2020-05-01,2,,,381,,
Wokingham,E06000041,Upper tier local authority,2020-05-01,1,,,377,,
Medway,E06000035,Upper tier local authority,2020-05-01,3,,,635,,
Swindon,E06000030,Upper tier local authority,2020-05-01,2,,,372,,
Torbay,E06000027,Upper tier local authority,2020-05-01,1,,,204,,
Plymouth,E06000026,Upper tier local authority,2020-05-01,5,,,297,,
South Gloucestershire,E06000025,Upper tier local authority,2020-05-01,2,,,352,,
North Somerset,E06000024,Upper tier local authority,2020-05-01,5,,,254,,
"Bristol, City of",E06000023,Upper tier local authority,2020-05-01,9,,,626,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-05-01,16,,,505,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-05-01,2,,,307,,
Nottingham,E06000018,Upper tier local authority,2020-05-01,11,,,536,,
Derby,E06000015,Upper tier local authority,2020-05-01,4,,,500,,
York,E06000014,Upper tier local authority,2020-05-01,3,,,313,,
North Lincolnshire,E06000013,Upper tier local authority,2020-05-01,9,,,378,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-05-01,2,,,616,,
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-05-01,1,,,469,,
Warrington,E06000007,Upper tier local authority,2020-05-01,1,,,635,,
Halton,E06000006,Upper tier local authority,2020-05-01,1,,,329,,
Darlington,E06000005,Upper tier local authority,2020-05-01,6,,,297,,
Stockton-on-Tees,E06000004,Upper tier local authority,2020-05-01,2,,,365,,
Redcar and Cleveland,E06000003,Upper tier local authority,2020-05-01,4,,,330,,
Middlesbrough,E06000002,Upper tier local authority,2020-05-01,1,,,566,,
England,E92000001,Nation,2020-04-30,1393,707,686,124245,122747,1498
South West,E12000009,Region,2020-04-30,65,,,6435,,
South East,E12000008,Region,2020-04-30,177,,,17464,,
London,E12000007,Region,2020-04-30,127,,,24785,,
East of England,E12000006,Region,2020-04-30,101,,,10910,,
West Midlands,E12000005,Region,2020-04-30,150,,,13536,,
East Midlands,E12000004,Region,2020-04-30,50,,,7024,,
Yorkshire and The Humber,E12000003,Region,2020-04-30,134,,,10693,,
North West,E12000002,Region,2020-04-30,323,,,20050,,
North East,E12000001,Region,2020-04-30,214,,,8047,,
Worcestershire,E10000034,Upper tier local authority,2020-04-30,4,,,1164,,
West Sussex,E10000032,Upper tier local authority,2020-04-30,17,,,1171,,
Warwickshire,E10000031,Upper tier local authority,2020-04-30,14,,,1202,,
Surrey,E10000030,Upper tier local authority,2020-04-30,9,,,2606,,
Suffolk,E10000029,Upper tier local authority,2020-04-30,9,,,1098,,
Staffordshire,E10000028,Upper tier local authority,2020-04-30,26,,,1776,,
Somerset,E10000027,Upper tier local authority,2020-04-30,8,,,515,,
Oxfordshire,E10000025,Upper tier local authority,2020-04-30,17,,,1581,,
Nottinghamshire,E10000024,Upper tier local authority,2020-04-30,15,,,1140,,
North Yorkshire,E10000023,Upper tier local authority,2020-04-30,20,,,984,,
Northamptonshire,E10000021,Upper tier local authority,2020-04-30,7,,,1054,,
Norfolk,E10000020,Upper tier local authority,2020-04-30,51,,,1609,,
Lincolnshire,E10000019,Upper tier local authority,2020-04-30,11,,,861,,
Leicestershire,E10000018,Upper tier local authority,2020-04-30,5,,,946,,
Lancashire,E10000017,Upper tier local authority,2020-04-30,43,,,2872,,
Kent,E10000016,Upper tier local authority,2020-04-30,37,,,3409,,
Hertfordshire,E10000015,Upper tier local authority,2020-04-30,14,,,2338,,
Hampshire,E10000014,Upper tier local authority,2020-04-30,38,,,2830,,
Gloucestershire,E10000013,Upper tier local authority,2020-04-30,10,,,1230,,
Essex,E10000012,Upper tier local authority,2020-04-30,6,,,2645,,
East Sussex,E10000011,Upper tier local authority,2020-04-30,10,,,591,,
Devon,E10000008,Upper tier local authority,2020-04-30,4,,,719,,
Derbyshire,E10000007,Upper tier local authority,2020-04-30,3,,,1306,,
Cumbria,E10000006,Upper tier local authority,2020-04-30,24,,,1934,,
Cambridgeshire,E10000003,Upper tier local authority,2020-04-30,15,,,794,,
Buckinghamshire,E10000002,Upper tier local authority,2020-04-30,3,,,838,,
Westminster,E09000033,Upper tier local authority,2020-04-30,3,,,604,,
Wandsworth,E09000032,Upper tier local authority,2020-04-30,5,,,927,,
Waltham Forest,E09000031,Upper tier local authority,2020-04-30,5,,,726,,
Southwark,E09000028,Upper tier local authority,2020-04-30,8,,,1205,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-30,8,,,381,,
Redbridge,E09000026,Upper tier local authority,2020-04-30,5,,,680,,
Newham,E09000025,Upper tier local authority,2020-04-30,6,,,955,,
Merton,E09000024,Upper tier local authority,2020-04-30,1,,,654,,
Lewisham,E09000023,Upper tier local authority,2020-04-30,5,,,927,,
Lambeth,E09000022,Upper tier local authority,2020-04-30,5,,,1142,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-30,3,,,451,,
Islington,E09000019,Upper tier local authority,2020-04-30,4,,,417,,
Hounslow,E09000018,Upper tier local authority,2020-04-30,5,,,654,,
Hillingdon,E09000017,Upper tier local authority,2020-04-30,1,,,727,,
Havering,E09000016,Upper tier local authority,2020-04-30,2,,,636,,
Harrow,E09000015,Upper tier local authority,2020-04-30,6,,,938,,
Haringey,E09000014,Upper tier local authority,2020-04-30,1,,,548,,
Hackney,E09000012,Upper tier local authority,2020-04-30,1,,,605,,
Greenwich,E09000011,Upper tier local authority,2020-04-30,4,,,639,,
Enfield,E09000010,Upper tier local authority,2020-04-30,3,,,836,,
